year,month,day,statefips,State,case_rate,new_case_rate
2020,1,21,1,AL,0,.
2020,1,21,2,AK,0,.
2020,1,21,4,AZ,0,.
2020,1,21,5,AR,0,.
2020,1,21,6,CA,0,.
2020,1,21,8,CO,0,.
2020,1,21,9,CT,0,.
2020,1,21,10,DE,0,.
2020,1,21,11,DC,0,.
2020,1,21,12,FL,0,.
2020,1,21,13,GA,0,.
2020,1,21,15,HI,0,.
2020,1,21,16,ID,0,.
2020,1,21,17,IL,0,.
2020,1,21,18,IN,0,.
2020,1,21,19,IA,0,.
2020,1,21,20,KS,0,.
2020,1,21,21,KY,0,.
2020,1,21,22,LA,0,.
2020,1,21,23,ME,0,.
2020,1,21,24,MD,0,.
2020,1,21,25,MA,0,.
2020,1,21,26,MI,0,.
2020,1,21,27,MN,0,.
2020,1,21,28,MS,0,.
2020,1,21,29,MO,0,.
2020,1,21,30,MT,0,.
2020,1,21,31,NE,0,.
2020,1,21,32,NV,0,.
2020,1,21,33,NH,0,.
2020,1,21,34,NJ,0,.
2020,1,21,35,NM,0,.
2020,1,21,36,NY,0,.
2020,1,21,37,NC,0,.
2020,1,21,38,ND,0,.
2020,1,21,39,OH,0,.
2020,1,21,40,OK,0,.
2020,1,21,41,OR,0,.
2020,1,21,42,PA,0,.
2020,1,21,44,RI,0,.
2020,1,21,45,SC,0,.
2020,1,21,46,SD,0,.
2020,1,21,47,TN,0,.
2020,1,21,48,TX,0,.
2020,1,21,49,UT,0,.
2020,1,21,50,VT,0,.
2020,1,21,51,VA,0,.
2020,1,21,53,WA,0.0131,.
2020,1,21,54,WV,0,.
2020,1,21,55,WI,0,.
2020,1,21,56,WY,0,.
2020,1,22,1,AL,0,.
2020,1,22,2,AK,0,.
2020,1,22,4,AZ,0,.
2020,1,22,5,AR,0,.
2020,1,22,6,CA,0,.
2020,1,22,8,CO,0,.
2020,1,22,9,CT,0,.
2020,1,22,10,DE,0,.
2020,1,22,11,DC,0,.
2020,1,22,12,FL,0,.
2020,1,22,13,GA,0,.
2020,1,22,15,HI,0,.
2020,1,22,16,ID,0,.
2020,1,22,17,IL,0,.
2020,1,22,18,IN,0,.
2020,1,22,19,IA,0,.
2020,1,22,20,KS,0,.
2020,1,22,21,KY,0,.
2020,1,22,22,LA,0,.
2020,1,22,23,ME,0,.
2020,1,22,24,MD,0,.
2020,1,22,25,MA,0,.
2020,1,22,26,MI,0,.
2020,1,22,27,MN,0,.
2020,1,22,28,MS,0,.
2020,1,22,29,MO,0,.
2020,1,22,30,MT,0,.
2020,1,22,31,NE,0,.
2020,1,22,32,NV,0,.
2020,1,22,33,NH,0,.
2020,1,22,34,NJ,0,.
2020,1,22,35,NM,0,.
2020,1,22,36,NY,0,.
2020,1,22,37,NC,0,.
2020,1,22,38,ND,0,.
2020,1,22,39,OH,0,.
2020,1,22,40,OK,0,.
2020,1,22,41,OR,0,.
2020,1,22,42,PA,0,.
2020,1,22,44,RI,0,.
2020,1,22,45,SC,0,.
2020,1,22,46,SD,0,.
2020,1,22,47,TN,0,.
2020,1,22,48,TX,0,.
2020,1,22,49,UT,0,.
2020,1,22,50,VT,0,.
2020,1,22,51,VA,0,.
2020,1,22,53,WA,0.0131,.
2020,1,22,54,WV,0,.
2020,1,22,55,WI,0,.
2020,1,22,56,WY,0,.
2020,1,23,1,AL,0,.
2020,1,23,2,AK,0,.
2020,1,23,4,AZ,0,.
2020,1,23,5,AR,0,.
2020,1,23,6,CA,0,.
2020,1,23,8,CO,0,.
2020,1,23,9,CT,0,.
2020,1,23,10,DE,0,.
2020,1,23,11,DC,0,.
2020,1,23,12,FL,0,.
2020,1,23,13,GA,0,.
2020,1,23,15,HI,0,.
2020,1,23,16,ID,0,.
2020,1,23,17,IL,0,.
2020,1,23,18,IN,0,.
2020,1,23,19,IA,0,.
2020,1,23,20,KS,0,.
2020,1,23,21,KY,0,.
2020,1,23,22,LA,0,.
2020,1,23,23,ME,0,.
2020,1,23,24,MD,0,.
2020,1,23,25,MA,0,.
2020,1,23,26,MI,0,.
2020,1,23,27,MN,0,.
2020,1,23,28,MS,0,.
2020,1,23,29,MO,0,.
2020,1,23,30,MT,0,.
2020,1,23,31,NE,0,.
2020,1,23,32,NV,0,.
2020,1,23,33,NH,0,.
2020,1,23,34,NJ,0,.
2020,1,23,35,NM,0,.
2020,1,23,36,NY,0,.
2020,1,23,37,NC,0,.
2020,1,23,38,ND,0,.
2020,1,23,39,OH,0,.
2020,1,23,40,OK,0,.
2020,1,23,41,OR,0,.
2020,1,23,42,PA,0,.
2020,1,23,44,RI,0,.
2020,1,23,45,SC,0,.
2020,1,23,46,SD,0,.
2020,1,23,47,TN,0,.
2020,1,23,48,TX,0,.
2020,1,23,49,UT,0,.
2020,1,23,50,VT,0,.
2020,1,23,51,VA,0,.
2020,1,23,53,WA,0.0131,.
2020,1,23,54,WV,0,.
2020,1,23,55,WI,0,.
2020,1,23,56,WY,0,.
2020,1,24,1,AL,0,.
2020,1,24,2,AK,0,.
2020,1,24,4,AZ,0,.
2020,1,24,5,AR,0,.
2020,1,24,6,CA,0,.
2020,1,24,8,CO,0,.
2020,1,24,9,CT,0,.
2020,1,24,10,DE,0,.
2020,1,24,11,DC,0,.
2020,1,24,12,FL,0,.
2020,1,24,13,GA,0,.
2020,1,24,15,HI,0,.
