year,month,day,statefips,State,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2020,2,24,1,AL,0.00286,-0.00714,0.0557,0.06,0.0129,0.00857,-0.00798
2020,2,24,2,AK,0.03,0.00714,0.0629,0.0314,0.0157,0.00286,-0.000578
2020,2,24,4,AZ,0.0314,0.00714,0.0543,0.04,0.00286,0.00429,-0.00751
2020,2,24,5,AR,0.02,-0.00286,0.0286,0.00429,0.0157,0.00143,-0.00301
2020,2,24,6,CA,0.0129,0.00286,0.106,0.00714,0.0114,0.00143,-0.0025
2020,2,24,8,CO,-0.01,0.00286,-0.114,0.01,0.0143,0.00714,-0.00931
2020,2,24,9,CT,0.0386,-0.0157,0.257,0.05,0.00571,0.00143,0.00235
2020,2,24,10,DE,0.0371,0.0129,0.234,0.07,0.0286,-0.00571,0.0085
2020,2,24,11,DC,-0.0114,-0.0329,0.14,0.00571,-0.0143,0.00714,-0.00492
2020,2,24,12,FL,0.0271,0.00714,0.0943,0.0343,0.01,0.00143,-0.00138
2020,2,24,13,GA,-0.00571,-0.0229,0.0186,0.0171,-0.0114,0.01,-0.00781
2020,2,24,15,HI,0.0114,-0.00571,0.0814,0.0257,0.00714,0.00143,-0.00049
2020,2,24,16,ID,0.05,0.0414,0.246,0.0743,0.03,-0.00714,0.0102
2020,2,24,17,IL,0.0386,0.0314,0.246,0.0371,0.0271,-0.00714,0.0122
2020,2,24,18,IN,0.05,0.01,0.241,0.0586,0.0229,-0.00429,0.00761
2020,2,24,19,IA,0.0386,0.1,0.226,0.00571,0.0314,-0.00857,0.0135
2020,2,24,20,KS,0.0457,-0.0114,0.16,0.0129,0.03,-0.00571,0.00682
2020,2,24,21,KY,0.0171,0.0171,0.151,0.03,0.0229,0,0.00314
2020,2,24,22,LA,0.0814,0.0486,0.177,0.17,-0.02,0.00286,0.00143
2020,2,24,23,ME,0.0486,0.00143,0.143,0.114,-0.0529,0.0129,-0.00888
2020,2,24,24,MD,0.0229,0.00429,0.221,0.0214,0.0286,-0.00429,0.00792
2020,2,24,25,MA,0.0286,-0.0314,0.201,0.00143,-0.0414,0.01,-0.0073
2020,2,24,26,MI,0.0329,-2.66E-10,0.237,0.0871,0.0143,-0.00143,0.00665
2020,2,24,27,MN,0.0257,0.02,0.0643,0.0471,0.0171,-0.00286,0.00718
2020,2,24,28,MS,0.0129,0.00571,0.00143,0.0529,0.00143,0.00714,-0.00659
2020,2,24,29,MO,0.0529,0.0214,0.193,0.0457,0.06,-0.00857,0.0122
2020,2,24,30,MT,0.04,0.0186,-0.00286,0.0414,0.0214,-0.00429,0.00532
2020,2,24,31,NE,0.0486,0.0271,0.261,0.0471,0.02,-0.00286,0.00626
2020,2,24,32,NV,0.0243,0.0129,0.0957,0.0357,0.00714,0,0.000402
2020,2,24,33,NH,0.0257,-0.0243,0.237,0.177,0.00143,0.00429,-0.000543
2020,2,24,34,NJ,0.0243,-0.00143,0.329,0.0243,0.0157,0,0.00263
2020,2,24,35,NM,0.03,0.0414,0.00429,0.0286,0.0229,-0.00286,0.00156
2020,2,24,36,NY,0.0314,-0.0186,0.153,-0.0171,-0.0371,0.0114,-0.009
2020,2,24,37,NC,-0.0143,-0.0214,0.0171,0.0114,-0.02,0.0229,-0.0225
2020,2,24,38,ND,0.0429,-0.00429,0.0886,0.0629,0.0229,-0.00286,0.00783
2020,2,24,39,OH,0.0357,0.00429,0.266,0.0429,0.0257,-0.00286,0.00622
2020,2,24,40,OK,0.0186,-0.00286,-0.02,0.0243,0.0171,0.00143,-0.003
2020,2,24,41,OR,0.0543,0.0229,0.36,0.0529,0.0214,-0.00857,0.0111
2020,2,24,42,PA,0.0371,0.00429,0.336,0.0257,0.0243,-0.00143,0.00403
2020,2,24,44,RI,0.0529,-0.04,0.421,0.0186,-0.0157,0.00571,-0.00288
2020,2,24,45,SC,0.00571,-0.0114,-0.0343,0.0357,0.01,0.01,-0.0078
