year,month,day,statefips,State,RevenueChange
2020,1,10,1,AL,-0.0114
2020,1,10,2,AK,0.0256
2020,1,10,4,AZ,-0.00905
2020,1,10,5,AR,-0.0187
2020,1,10,6,CA,0.00209
2020,1,10,8,CO,-0.00722
2020,1,10,9,CT,-0.00677
2020,1,10,10,DE,-0.0527
2020,1,10,11,DC,-0.0298
2020,1,10,12,FL,-0.0361
2020,1,10,13,GA,-0.0172
2020,1,10,15,HI,0.0119
2020,1,10,16,ID,0.0112
2020,1,10,17,IL,-0.0494
2020,1,10,18,IN,-0.0476
2020,1,10,19,IA,-0.0407
2020,1,10,20,KS,-0.00567
2020,1,10,21,KY,-0.0492
2020,1,10,22,LA,-0.0118
2020,1,10,23,ME,-0.016
2020,1,10,24,MD,-0.0299
2020,1,10,25,MA,-0.0418
2020,1,10,26,MI,-0.0181
2020,1,10,27,MN,-0.0213
2020,1,10,28,MS,-0.0225
2020,1,10,29,MO,-0.032
2020,1,10,30,MT,-0.0329
2020,1,10,31,NE,-0.0454
2020,1,10,32,NV,-0.0327
2020,1,10,33,NH,-0.0533
2020,1,10,34,NJ,-0.0469
2020,1,10,35,NM,0.00579
2020,1,10,36,NY,-0.0202
2020,1,10,37,NC,-0.0124
2020,1,10,38,ND,-0.0454
2020,1,10,39,OH,-0.0513
2020,1,10,40,OK,-0.0221
2020,1,10,41,OR,-0.00359
2020,1,10,42,PA,-0.0217
2020,1,10,44,RI,-0.028
2020,1,10,45,SC,-0.0141
2020,1,10,46,SD,-0.0774
2020,1,10,47,TN,-0.0187
2020,1,10,48,TX,-0.0299
2020,1,10,49,UT,0.00936
2020,1,10,50,VT,-0.0467
2020,1,10,51,VA,-0.0184
2020,1,10,53,WA,0.0517
2020,1,10,54,WV,-0.0407
2020,1,10,55,WI,-0.00505
2020,1,10,56,WY,-0.0411
2020,1,11,1,AL,-0.0262
2020,1,11,2,AK,0.0746
2020,1,11,4,AZ,0.0047
2020,1,11,5,AR,-0.0157
2020,1,11,6,CA,0.0129
2020,1,11,8,CO,0.0193
2020,1,11,9,CT,0.012
2020,1,11,10,DE,-0.0208
2020,1,11,11,DC,-0.00104
2020,1,11,12,FL,-0.0155
2020,1,11,13,GA,-0.019
2020,1,11,15,HI,0.0133
2020,1,11,16,ID,0.0106
2020,1,11,17,IL,-0.0476
2020,1,11,18,IN,-0.0456
2020,1,11,19,IA,-0.0461
2020,1,11,20,KS,-0.0253
2020,1,11,21,KY,-0.0526
2020,1,11,22,LA,-0.0143
2020,1,11,23,ME,0.0097
2020,1,11,24,MD,-0.0167
2020,1,11,25,MA,-0.0173
2020,1,11,26,MI,-0.0289
2020,1,11,27,MN,-0.0198
2020,1,11,28,MS,-0.0384
2020,1,11,29,MO,-0.014
2020,1,11,30,MT,-0.0196
2020,1,11,31,NE,-0.0358
2020,1,11,32,NV,-0.0163
2020,1,11,33,NH,-0.00185
2020,1,11,34,NJ,-0.00834
2020,1,11,35,NM,0.0323
2020,1,11,36,NY,0.00848
2020,1,11,37,NC,-0.00594
2020,1,11,38,ND,-0.0814
2020,1,11,39,OH,-0.0393
2020,1,11,40,OK,-0.0282
2020,1,11,41,OR,0.0162
2020,1,11,42,PA,-0.0056
2020,1,11,44,RI,-0.00561
2020,1,11,45,SC,-0.0185
2020,1,11,46,SD,-0.0744
2020,1,11,47,TN,-0.0258
2020,1,11,48,TX,-0.011
2020,1,11,49,UT,0.028
2020,1,11,50,VT,-0.0333
2020,1,11,51,VA,-0.012
2020,1,11,53,WA,0.0543
2020,1,11,54,WV,-0.0483
2020,1,11,55,WI,-0.0178
2020,1,11,56,WY,-0.00481
2020,1,12,1,AL,-0.0254
2020,1,12,2,AK,0.0728
2020,1,12,4,AZ,0.00533
2020,1,12,5,AR,-0.0144
2020,1,12,6,CA,0.011
2020,1,12,8,CO,0.0314
2020,1,12,9,CT,0.00578
2020,1,12,10,DE,-0.00683
2020,1,12,11,DC,-0.00164
2020,1,12,12,FL,-0.0138
2020,1,12,13,GA,-0.0146
2020,1,12,15,HI,0.00459
2020,1,12,16,ID,0.0121
2020,1,12,17,IL,-0.0211
2020,1,12,18,IN,-0.00167
2020,1,12,19,IA,-0.0227
2020,1,12,20,KS,0.00346
2020,1,12,21,KY,-0.0315
2020,1,12,22,LA,-0.0156
2020,1,12,23,ME,0.00932
2020,1,12,24,MD,0.00135
2020,1,12,25,MA,-0.022
2020,1,12,26,MI,-0.0351
2020,1,12,27,MN,-0.0129
2020,1,12,28,MS,-0.0331
2020,1,12,29,MO,0.0484
2020,1,12,30,MT,-0.00771
2020,1,12,31,NE,-0.0193
2020,1,12,32,NV,-0.00782
2020,1,12,33,NH,0.000393
2020,1,12,34,NJ,-0.00653
2020,1,12,35,NM,0.0266
2020,1,12,36,NY,0.00735
2020,1,12,37,NC,0.00314
2020,1,12,38,ND,-0.0985
2020,1,12,39,OH,-0.0181
2020,1,12,40,OK,-0.0207
2020,1,12,41,OR,0.0083
2020,1,12,42,PA,-0.00851
2020,1,12,44,RI,-0.00373
2020,1,12,45,SC,-0.0155
2020,1,12,46,SD,-0.0723
2020,1,12,47,TN,-0.0162
2020,1,12,48,TX,-0.00919
2020,1,12,49,UT,0.0152
2020,1,12,50,VT,-0.04
2020,1,12,51,VA,-0.0011
2020,1,12,53,WA,0.0419
2020,1,12,54,WV,-0.0151
2020,1,12,55,WI,-0.0185
2020,1,12,56,WY,-0.00271
2020,1,13,1,AL,-0.0499
2020,1,13,2,AK,0.0539
2020,1,13,4,AZ,-0.0325
2020,1,13,5,AR,-0.0382
2020,1,13,6,CA,-0.0106
2020,1,13,8,CO,0.00831
2020,1,13,9,CT,-0.00505
2020,1,13,10,DE,-0.00637
2020,1,13,11,DC,0.0307
2020,1,13,12,FL,-0.0262
2020,1,13,13,GA,-0.0365
2020,1,13,15,HI,-0.0208
2020,1,13,16,ID,-0.00742
2020,1,13,17,IL,-0.0538
2020,1,13,18,IN,0.00594
2020,1,13,19,IA,-0.0418
2020,1,13,20,KS,-0.0101
2020,1,13,21,KY,-0.0396
2020,1,13,22,LA,-0.0439
2020,1,13,23,ME,-0.000648
2020,1,13,24,MD,0.00968
2020,1,13,25,MA,-0.0293
2020,1,13,26,MI,-0.0623
2020,1,13,27,MN,-0.0383
2020,1,13,28,MS,-0.0503
2020,1,13,29,MO,0.0321
2020,1,13,30,MT,-0.0177
2020,1,13,31,NE,-0.0437
2020,1,13,32,NV,-0.0203
2020,1,13,33,NH,0.0047
2020,1,13,34,NJ,-0.0241
2020,1,13,35,NM,-0.000607
2020,1,13,36,NY,-0.00903
2020,1,13,37,NC,-0.0111
2020,1,13,38,ND,-0.109
2020,1,13,39,OH,-0.0158
2020,1,13,40,OK,-0.0416
2020,1,13,41,OR,-0.0206
2020,1,13,42,PA,-0.0107
2020,1,13,44,RI,-0.00921
2020,1,13,45,SC,-0.0282
2020,1,13,46,SD,-0.0975
2020,1,13,47,TN,-0.0256
2020,1,13,48,TX,-0.031
2020,1,13,49,UT,-0.00753
2020,1,13,50,VT,-0.0386
2020,1,13,51,VA,0.00855
2020,1,13,53,WA,-0.02
2020,1,13,54,WV,-0.0268
2020,1,13,55,WI,-0.0347
2020,1,13,56,WY,-0.0361
2020,1,14,1,AL,-0.0692
2020,1,14,2,AK,0.0373
2020,1,14,4,AZ,-0.0101
2020,1,14,5,AR,-0.0246
2020,1,14,6,CA,-0.00205
2020,1,14,8,CO,0.00423
2020,1,14,9,CT,0.0155
2020,1,14,10,DE,-0.0038
2020,1,14,11,DC,0.0905
2020,1,14,12,FL,-0.0138
2020,1,14,13,GA,-0.0289
2020,1,14,15,HI,-0.0249
2020,1,14,16,ID,-0.0256
2020,1,14,17,IL,-0.0353
2020,1,14,18,IN,0.00967
2020,1,14,19,IA,-0.0459
2020,1,14,20,KS,0.00152
2020,1,14,21,KY,-0.00787
2020,1,14,22,LA,-0.0484
2020,1,14,23,ME,0.0238
2020,1,14,24,MD,0.0415
2020,1,14,25,MA,-0.0149
2020,1,14,26,MI,-0.0503
2020,1,14,27,MN,-0.0508
2020,1,14,28,MS,-0.0452
2020,1,14,29,MO,0.0311
2020,1,14,30,MT,-0.0313
2020,1,14,31,NE,-0.0101
2020,1,14,32,NV,-0.0368
2020,1,14,33,NH,0.0333
2020,1,14,34,NJ,-0.0217
2020,1,14,35,NM,-0.00911
2020,1,14,36,NY,-0.00561
2020,1,14,37,NC,-0.000816
2020,1,14,38,ND,-0.113
2020,1,14,39,OH,-0.00571
2020,1,14,40,OK,-0.0298
2020,1,14,41,OR,-0.00769
2020,1,14,42,PA,-0.00364
2020,1,14,44,RI,0.0198
2020,1,14,45,SC,-0.0181
2020,1,14,46,SD,-0.0945
2020,1,14,47,TN,-0.022
2020,1,14,48,TX,-0.0208
2020,1,14,49,UT,-0.01
2020,1,14,50,VT,-0.0466
2020,1,14,51,VA,0.0561
2020,1,14,53,WA,-0.0561
2020,1,14,54,WV,0.0303
2020,1,14,55,WI,-0.0389
2020,1,14,56,WY,-0.0612
2020,1,15,1,AL,-0.0551
2020,1,15,2,AK,0.0363
2020,1,15,4,AZ,-0.00366
2020,1,15,5,AR,-0.0182
2020,1,15,6,CA,-0.000334
2020,1,15,8,CO,0.00902
2020,1,15,9,CT,-0.00187
2020,1,15,10,DE,0.0284
2020,1,15,11,DC,0.115
2020,1,15,12,FL,-0.00181
2020,1,15,13,GA,-0.0232
2020,1,15,15,HI,-0.0364
2020,1,15,16,ID,-0.016
2020,1,15,17,IL,-0.0376
2020,1,15,18,IN,0.00499
2020,1,15,19,IA,-0.0545
2020,1,15,20,KS,-0.00445
2020,1,15,21,KY,-0.00572
2020,1,15,22,LA,-0.0462
2020,1,15,23,ME,0.0163
2020,1,15,24,MD,0.0531
2020,1,15,25,MA,-0.00173
2020,1,15,26,MI,-0.0486
2020,1,15,27,MN,-0.0381
2020,1,15,28,MS,-0.0737
2020,1,15,29,MO,0.0337
2020,1,15,30,MT,-0.0424
2020,1,15,31,NE,0.0427
2020,1,15,32,NV,-0.0197
2020,1,15,33,NH,0.0157
2020,1,15,34,NJ,-0.0144
2020,1,15,35,NM,-0.00843
2020,1,15,36,NY,-0.00184
2020,1,15,37,NC,-0.00126
2020,1,15,38,ND,-0.107
2020,1,15,39,OH,0.000142
2020,1,15,40,OK,-0.0239
2020,1,15,41,OR,-0.00493
2020,1,15,42,PA,-0.00916
2020,1,15,44,RI,0.0101
2020,1,15,45,SC,-0.0157
2020,1,15,46,SD,-0.0746
2020,1,15,47,TN,-0.0187
2020,1,15,48,TX,-0.0197
2020,1,15,49,UT,-0.0266
2020,1,15,50,VT,-0.0399
2020,1,15,51,VA,0.0604
2020,1,15,53,WA,-0.0847
2020,1,15,54,WV,0.0133
2020,1,15,55,WI,-0.0549
2020,1,15,56,WY,-0.0646
2020,1,16,1,AL,-0.0504
2020,1,16,2,AK,0.0101
2020,1,16,4,AZ,0.00877
2020,1,16,5,AR,-0.004
2020,1,16,6,CA,0.00134
2020,1,16,8,CO,0.00196
2020,1,16,9,CT,-0.00414
2020,1,16,10,DE,0.019
2020,1,16,11,DC,0.108
2020,1,16,12,FL,0.00257
2020,1,16,13,GA,-0.0211
2020,1,16,15,HI,-0.0452
2020,1,16,16,ID,0.00165
2020,1,16,17,IL,-0.0387
2020,1,16,18,IN,0.00307
2020,1,16,19,IA,-0.0575
2020,1,16,20,KS,-0.0154
2020,1,16,21,KY,-0.00713
2020,1,16,22,LA,-0.0377
2020,1,16,23,ME,-0.0467
2020,1,16,24,MD,0.0484
2020,1,16,25,MA,0.00358
2020,1,16,26,MI,-0.0532
2020,1,16,27,MN,-0.0249
2020,1,16,28,MS,-0.071
2020,1,16,29,MO,0.0385
2020,1,16,30,MT,-0.0402
2020,1,16,31,NE,0.0381
2020,1,16,32,NV,-0.0199
2020,1,16,33,NH,0.0042
2020,1,16,34,NJ,-0.00346
2020,1,16,35,NM,-0.0228
2020,1,16,36,NY,-0.00607
2020,1,16,37,NC,0.00569
2020,1,16,38,ND,-0.0975
2020,1,16,39,OH,-0.00293
2020,1,16,40,OK,-0.0274
2020,1,16,41,OR,-0.012
2020,1,16,42,PA,-0.00969
2020,1,16,44,RI,0.0141
2020,1,16,45,SC,-0.0103
2020,1,16,46,SD,-0.0658
2020,1,16,47,TN,-0.0176
2020,1,16,48,TX,-0.0161
2020,1,16,49,UT,-0.0224
2020,1,16,50,VT,-0.0842
2020,1,16,51,VA,0.0653
2020,1,16,53,WA,-0.0843
2020,1,16,54,WV,0.0359
2020,1,16,55,WI,-0.045
2020,1,16,56,WY,-0.052
2020,1,17,1,AL,-0.0314
2020,1,17,2,AK,0.00252
2020,1,17,4,AZ,0.0136
2020,1,17,5,AR,0.00715
2020,1,17,6,CA,0.0195
2020,1,17,8,CO,0.000949
2020,1,17,9,CT,-0.0113
2020,1,17,10,DE,0.011
2020,1,17,11,DC,0.108
2020,1,17,12,FL,0.00827
2020,1,17,13,GA,-0.0104
2020,1,17,15,HI,-0.045
2020,1,17,16,ID,0.00282
2020,1,17,17,IL,-0.0475
2020,1,17,18,IN,0.00746
2020,1,17,19,IA,-0.107
2020,1,17,20,KS,-0.0525
2020,1,17,21,KY,0.0049
2020,1,17,22,LA,-0.019
2020,1,17,23,ME,-0.0735
2020,1,17,24,MD,0.0428
2020,1,17,25,MA,0.00015
2020,1,17,26,MI,-0.0583
2020,1,17,27,MN,-0.0554
2020,1,17,28,MS,-0.0359
2020,1,17,29,MO,-0.000221
2020,1,17,30,MT,-0.0209
2020,1,17,31,NE,-0.00183
2020,1,17,32,NV,-0.000824
2020,1,17,33,NH,0.0101
2020,1,17,34,NJ,-0.00602
2020,1,17,35,NM,-0.0268
2020,1,17,36,NY,-0.0167
2020,1,17,37,NC,0.00888
2020,1,17,38,ND,-0.116
2020,1,17,39,OH,0.00335
2020,1,17,40,OK,-0.0349
2020,1,17,41,OR,-0.00522
2020,1,17,42,PA,-0.00978
2020,1,17,44,RI,0.00307
2020,1,17,45,SC,0.00167
2020,1,17,46,SD,-0.101
2020,1,17,47,TN,-0.0141
2020,1,17,48,TX,-0.00733
2020,1,17,49,UT,-0.0349
2020,1,17,50,VT,-0.0481
2020,1,17,51,VA,0.0586
2020,1,17,53,WA,-0.0746
2020,1,17,54,WV,0.0217
2020,1,17,55,WI,-0.0602
2020,1,17,56,WY,-0.0341
2020,1,18,1,AL,0.00842
2020,1,18,2,AK,-0.0354
2020,1,18,4,AZ,0.018
2020,1,18,5,AR,0.0235
2020,1,18,6,CA,0.0349
2020,1,18,8,CO,0.002
2020,1,18,9,CT,-0.0346
2020,1,18,10,DE,0.000997
2020,1,18,11,DC,0.0694
2020,1,18,12,FL,0.0111
2020,1,18,13,GA,0.000618
2020,1,18,15,HI,-0.0363
2020,1,18,16,ID,0.00742
2020,1,18,17,IL,-0.0409
2020,1,18,18,IN,0.00477
2020,1,18,19,IA,-0.0991
2020,1,18,20,KS,-0.0114
2020,1,18,21,KY,0.0238
2020,1,18,22,LA,-0.000915
2020,1,18,23,ME,-0.0749
2020,1,18,24,MD,0.0263
2020,1,18,25,MA,-0.0189
2020,1,18,26,MI,-0.0666
2020,1,18,27,MN,-0.0742
2020,1,18,28,MS,-0.0153
2020,1,18,29,MO,-0.00413
2020,1,18,30,MT,-0.00679
2020,1,18,31,NE,0.0256
2020,1,18,32,NV,0.0147
2020,1,18,33,NH,0.0112
2020,1,18,34,NJ,-0.031
2020,1,18,35,NM,-0.0305
2020,1,18,36,NY,-0.0389
2020,1,18,37,NC,0.0111
2020,1,18,38,ND,-0.112
2020,1,18,39,OH,-0.0146
2020,1,18,40,OK,-0.0171
2020,1,18,41,OR,-0.01
2020,1,18,42,PA,-0.027
2020,1,18,44,RI,-0.0188
2020,1,18,45,SC,0.0124
2020,1,18,46,SD,-0.0784
2020,1,18,47,TN,0.00568
2020,1,18,48,TX,0.00314
2020,1,18,49,UT,-0.0353
2020,1,18,50,VT,-0.029
2020,1,18,51,VA,0.0628
2020,1,18,53,WA,-0.068
2020,1,18,54,WV,0.026
2020,1,18,55,WI,-0.0627
2020,1,18,56,WY,-0.0192
2020,1,19,1,AL,0.0164
2020,1,19,2,AK,-0.0332
2020,1,19,4,AZ,0.012
2020,1,19,5,AR,0.0362
2020,1,19,6,CA,0.032
2020,1,19,8,CO,-0.01
2020,1,19,9,CT,-0.0328
2020,1,19,10,DE,-0.00898
2020,1,19,11,DC,0.067
2020,1,19,12,FL,0.0128
2020,1,19,13,GA,0.00446
2020,1,19,15,HI,-0.0237
2020,1,19,16,ID,0.00864
2020,1,19,17,IL,-0.0249
2020,1,19,18,IN,-0.00294
2020,1,19,19,IA,-0.0966
2020,1,19,20,KS,-0.0146
2020,1,19,21,KY,0.0113
2020,1,19,22,LA,0.00823
2020,1,19,23,ME,-0.0703
2020,1,19,24,MD,0.0226
2020,1,19,25,MA,-0.0141
2020,1,19,26,MI,-0.0378
2020,1,19,27,MN,-0.0739
2020,1,19,28,MS,-0.0117
2020,1,19,29,MO,-0.036
2020,1,19,30,MT,-0.00523
2020,1,19,31,NE,0.0129
2020,1,19,32,NV,0.0145
2020,1,19,33,NH,0.014
2020,1,19,34,NJ,-0.0241
2020,1,19,35,NM,-0.0311
2020,1,19,36,NY,-0.0247
2020,1,19,37,NC,0.00469
