year,month,day_endofweek,statefips,State,initclaims_rate,contclaims_rate
2020,1,4,1,AL,0.204,0.826
2020,1,4,2,AK,0.282,2.93
2020,1,4,4,AZ,0.0882,0.507
2020,1,4,5,AR,0.189,1.12
2020,1,4,6,CA,0.189,1.85
2020,1,4,8,CO,0.0772,0.679
2020,1,4,9,CT,0.41,2.43
2020,1,4,10,DE,0.18,1.41
2020,1,4,11,DC,0.117,1.76
2020,1,4,12,FL,0.0447,0.35
2020,1,4,13,GA,0.334,0.757
2020,1,4,15,HI,0.274,1.02
2020,1,4,16,ID,0.335,1
2020,1,4,17,IL,0.183,1.94
2020,1,4,18,IN,0.131,0.592
2020,1,4,19,IA,0.264,1.99
2020,1,4,20,KS,0.136,0.752
2020,1,4,21,KY,0.25,1.09
2020,1,4,22,LA,0.0791,0.79
2020,1,4,23,ME,0.24,1.13
2020,1,4,24,MD,0.123,0.938
2020,1,4,25,MA,0.248,2
2020,1,4,26,MI,0.267,1.46
2020,1,4,27,MN,0.235,2.19
2020,1,4,28,MS,0.0923,0.759
2020,1,4,29,MO,0.242,0.966
2020,1,4,30,MT,0.291,2.07
2020,1,4,31,NE,0.106,0.499
2020,1,4,32,NV,0.147,1.35
2020,1,4,33,NH,0.0892,0.577
2020,1,4,34,NJ,0.341,2.48
2020,1,4,35,NM,0.0837,1.06
2020,1,4,36,NY,0.471,1.91
2020,1,4,37,NC,0.069,0.41
2020,1,4,38,ND,0.207,1.43
2020,1,4,39,OH,0.185,1.26
2020,1,4,40,OK,0.16,0.982
2020,1,4,41,OR,0.319,1.68
2020,1,4,42,PA,0.421,2.09
2020,1,4,44,RI,0.355,2.18
2020,1,4,45,SC,0.314,0.796
2020,1,4,46,SD,0.0858,0.603
2020,1,4,47,TN,0.0922,0.663
2020,1,4,48,TX,0.0881,1.01
2020,1,4,49,UT,0.0944,0.705
2020,1,4,50,VT,0.199,1.58
2020,1,4,51,VA,0.0723,0.502
2020,1,4,53,WA,0.256,1.8
2020,1,4,54,WV,0.196,1.99
2020,1,4,55,WI,0.414,1.6
2020,1,4,56,WY,0.227,1.1
2020,1,11,1,AL,0.162,0.943
2020,1,11,2,AK,0.394,2.68
2020,1,11,4,AZ,0.131,0.514
2020,1,11,5,AR,0.183,1.14
2020,1,11,6,CA,0.268,1.84
2020,1,11,8,CO,0.0953,0.683
2020,1,11,9,CT,0.313,2.48
2020,1,11,10,DE,0.227,1.45
2020,1,11,11,DC,0.172,1.73
2020,1,11,12,FL,0.0664,0.339
2020,1,11,13,GA,0.351,0.929
2020,1,11,15,HI,0.275,1.18
2020,1,11,16,ID,0.242,1.3
2020,1,11,17,IL,0.197,2.12
2020,1,11,18,IN,0.144,0.635
2020,1,11,19,IA,0.278,1.99
2020,1,11,20,KS,0.144,0.769
2020,1,11,21,KY,0.191,1.21
2020,1,11,22,LA,0.12,0.762
2020,1,11,23,ME,0.225,1.13
2020,1,11,24,MD,0.142,0.96
2020,1,11,25,MA,0.23,2.08
2020,1,11,26,MI,0.289,1.82
2020,1,11,27,MN,0.191,2.13
2020,1,11,28,MS,0.119,0.747
2020,1,11,29,MO,0.354,0.978
2020,1,11,30,MT,0.329,2.2
2020,1,11,31,NE,0.113,0.55
2020,1,11,32,NV,0.181,1.29
2020,1,11,33,NH,0.0933,0.591
2020,1,11,34,NJ,0.3,2.68
2020,1,11,35,NM,0.125,1.08
2020,1,11,36,NY,0.245,1.94
2020,1,11,37,NC,0.0911,0.418
2020,1,11,38,ND,0.379,1.53
2020,1,11,39,OH,0.172,1.35
2020,1,11,40,OK,0.11,1.05
2020,1,11,41,OR,0.295,1.71
2020,1,11,42,PA,0.406,2.52
2020,1,11,44,RI,0.327,2.21
2020,1,11,45,SC,0.195,0.909
2020,1,11,46,SD,0.101,0.64
2020,1,11,47,TN,0.111,0.67
2020,1,11,48,TX,0.156,1
2020,1,11,49,UT,0.114,0.733
2020,1,11,50,VT,0.19,1.64
2020,1,11,51,VA,0.0826,0.534
2020,1,11,53,WA,0.232,1.79
2020,1,11,54,WV,0.331,2.26
2020,1,11,55,WI,0.266,1.72
2020,1,11,56,WY,0.284,1.13
2020,1,18,1,AL,0.111,0.776
2020,1,18,2,AK,0.34,2.87
2020,1,18,4,AZ,0.117,0.519
2020,1,18,5,AR,0.127,0.971
2020,1,18,6,CA,0.334,1.94
2020,1,18,8,CO,0.0801,0.67
2020,1,18,9,CT,0.197,2.22
2020,1,18,10,DE,0.17,1.22
2020,1,18,11,DC,0.145,1.77
2020,1,18,12,FL,0.0589,0.336
2020,1,18,13,GA,0.16,0.628
2020,1,18,15,HI,0.186,0.996
2020,1,18,16,ID,0.246,1.35
2020,1,18,17,IL,0.23,2.08
2020,1,18,18,IN,0.11,0.638
2020,1,18,19,IA,0.208,1.7
2020,1,18,20,KS,0.162,0.716
2020,1,18,21,KY,0.149,1.16
2020,1,18,22,LA,0.0958,0.767
2020,1,18,23,ME,0.138,1.25
2020,1,18,24,MD,0.115,0.896
2020,1,18,25,MA,0.182,1.97
2020,1,18,26,MI,0.209,1.7
2020,1,18,27,MN,0.144,2.01
2020,1,18,28,MS,0.0889,0.69
2020,1,18,29,MO,0.16,0.971
2020,1,18,30,MT,0.232,2.11
